state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2;year;month;total_paper_num;total_cited_num;paper_num_density;citation_density;academic_index;crdi_index
budapest;na;hungary;Budapest University of Technology and Economics;13;2020-10-15;;538.4248558570337;2020;10;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
beijing;na;china;Key Laboratory of Machine Perception, Ministry of Education;5;2020-10-13;;16251.925428963288;2020;10;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
tianjin;na;china;Nankai University;0;2020-10-09;;11475.448711234842;2020;10;6;105;0.6418449343943531;11.23228635190118;15.0;8.95804376209851
chongqing;na;china;Chongqing University;99;2020-10-02;;82362.54643078936;2020;10;3;138;0.26504346462031636;12.191999372534552;34.5;15.652347612384956
budapest;na;hungary;Budapest University of Technology and Economics;33;2020-10-02;;538.4248558570337;2020;10;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
shanghai;na;china;East China Normal University;16;2020-10-01;;6746.037435237712;2020;10;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
izmir;na;turkey;Dokuz Eylül Üniversitesi;2;2020-10-01;;12897.949247945045;2020;10;3;12;0.31696052158626475;1.267842086345059;3.0;1.5282675359771078
shanghai;na;china;Key Laboratory of Road and Traffic Engineering of the State Ministry of Education;3;2020-10-01;;6746.037435237712;2020;10;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
szeged;na;hungary;Szegedi Tudományegyetem (SZTE);30;2020-10-01;;250.55527497700697;2020;10;1;30;0.18090828725267138;5.427248617580141;15.0;6.86938563494427
beijing;na;china;China Agricultural University;7;2020-10-01;;16251.925428963288;2020;10;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
seoul;na;southkorea;Chung-Ang University;113;2020-10-01;;577.7896951119151;2020;10;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
berlin;na;germany;Mercator Research Institute on Global Commons and Climate Change;12;2020-10-01;;889.247879319029;2020;10;8;157;1.1779430274068317;23.11713191285907;17.444444444444443;13.913173128236783
manila;na;philippines;FEU Institute of Technology;12;2020-10-01;;49.164154935471664;2020;10;3;20;0.7662246681761933;5.108164454507955;5.0;3.6247963742280493
budapest;na;hungary;Obuda University;31;2020-10-01;;538.4248558570337;2020;10;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
shanghai;na;china;Tongji University;4;2020-10-01;;6746.037435237712;2020;10;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
beijing;na;china;North China Electric Power University;10;2020-10-01;;16251.925428963288;2020;10;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Beijing Institute of Technology;194;2020-10-01;;16251.925428963288;2020;10;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences;62;2020-10-01;;16251.925428963288;2020;10;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
seoul;na;southkorea;University of Seoul;45;2020-10-01;;577.7896951119151;2020;10;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
beijing;na;china;Beijing Institute of Technology;16;2020-09-28;;16251.925428963288;2020;9;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Peking University;8;2020-09-25;;16251.925428963288;2020;9;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
bucharest;na;romania;Bucharest University of Economic Studies;11;2020-09-02;;284.4997537064901;2020;9;2;168;0.35371678376177396;29.712209835989015;56.0;28.688642206583594
