state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
tokyo;na;japan;theuniversityoftokyo;0;2023-09-01;;2183.257105688409
;na;thailand;facultyofmedicineramathibodihospital,mahidoluniversity;35;2023-09-01;;
daejeon;na;southkorea;chungnamnationaluniversity;0;2023-09-01;;366.09793367851626
;na;srilanka;universityofruhuna;11;2023-09-01;;
shanghai;na;china;eastchinanormaluniversity;3;2023-09-01;;6746.037435237712
;na;ghana;universityfordevelopmentstudiesghana;6;2023-09-01;;
;na;swaziland;universityofeswatini;17;2023-09-01;;
;na;thailand;geo-informaticsandspacetechnologydevelopmentagency;7;2023-09-01;;
;na;portugal;institutodesistemaserobotica;6;2023-09-01;;
;na;finland;helsinkiuniversityhospital;7;2023-09-01;;
berlin;na;germany;technischeuniversitatberlin;6;2023-09-01;;889.247879319029
;na;russianfederation;federalbiomedicalagencyrussia;12;2023-09-01;;
;na;unitedkingdom;imperialcollegelondon;7;2023-09-01;;
;na;singapore;schoolofcomputerscienceandengineering;17;2023-09-01;;
tokyo;na;japan;rikencenterforadvancedintelligenceproject;2;2023-09-01;;2183.257105688409
chongqing;na;china;chongqinguniversity;2;2023-09-01;;82362.54643078936
istanbul;na;turkey;yildizteknikuniversitesi;6;2023-09-01;;4807.201088748707
berlin;na;germany;technischeuniversitatberlin;11;2023-09-01;;889.247879319029
;na;newzealand;levelone;0;2023-09-01;;
beijing;na;china;tsinghuauniversity;4;2023-09-01;;16251.925428963288
;na;china;shenzheninstituteofadvancedtechnology;20;2023-09-01;;
beijing;na;china;instituteofinformationengineering;23;2023-09-01;;16251.925428963288
;na;na;na;10;2023-08-31;;
manila;na;philippines;mapuauniversity;1;2023-08-29;;49.164154935471664
rabat;na;morocco;rabatinformationtechnologycenter;1;2023-08-18;;22.368830183985136
beijing;na;china;chinameteorologicaladministration;8;2023-08-16;;16251.925428963288
shanghai;na;china;tongjiarchitecturaldesign(group)co.ltd;27;2023-08-15;;6746.037435237712
shanghai;na;china;shanghaijiaotonguniversity;0;2023-08-07;;6746.037435237712
nicosia;na;cyprus;openuniversityofcyprus;1;2023-08-04;;1967.9460500993875
beijing;na;china;bytedanceltd.;5;2023-08-04;;16251.925428963288
beijing;na;china;beijingkeylaboratoryofmaterialsutilizationofnonmetallicmineralsandsolidwastes;9;2023-08-01;;16251.925428963288
;na;portugal;iscte-institutouniversitariodelisboa;5;2023-08-01;;
seoul;na;southkorea;chung-anguniversity;3;2023-08-01;;577.7896951119151
beijing;na;china;pekinguniversityhealthsciencecenter;0;2023-08-01;;16251.925428963288
beijing;na;china;renminuniversityofchina;4;2023-08-01;;16251.925428963288
;na;russianfederation;financialuniversityunderthegovernmentoftherussianfederation;2;2023-08-01;;
kualalumpur;na;malaysia;universitimalaya;1;2023-08-01;;239.05539904561607
beijing;na;china;beijingnormaluniversity;3;2023-08-01;;16251.925428963288
beijing;na;china;tsinghuauniversity;12;2023-08-01;;16251.925428963288
;na;na;na;1;2023-08-01;;
;na;singapore;mohholdingspteltd;3;2023-08-01;;
beijing;na;china;chinameteorologicaladministration;21;2023-08-01;;16251.925428963288
;na;na;na;1;2023-08-01;;
kaduna;na;nigeria;kadunastateuniversity;1;2023-08-01;;44510.284432417226
shanghai;na;china;shanghaiuniversitycollegeofsciences;2;2023-08-01;;6746.037435237712
shanghai;na;china;shanghaijiaotonguniversity;29;2023-08-01;;6746.037435237712
beijing;na;china;ministryofnaturalresourcesofthepeople'srepublicofchina;8;2023-08-01;;16251.925428963288
;na;singapore;nationaluniversityofsingapore;12;2023-08-01;;
seoul;na;southkorea;universityofseoul;13;2023-08-01;;577.7896951119151
;na;greece;forestresearchinstitute;9;2023-08-01;;
bolu;na;turkiye;boluabantizzetbaysaluniversitesi;18;2023-08-01;;8575.276416210332
;na;italy;councilforagriculturalresearchandeconomics;5;2023-08-01;;
;na;taiwan;nationalkaohsiunguniversityofscienceandtechnology;63;2023-08-01;;
seoul;na;southkorea;seoulnationaluniversity;22;2023-08-01;;577.7896951119151
;na;poland;uniwersytetim.adamamickiewiczawpoznaniu;8;2023-08-01;;
hsinchu;na;taiwan;nationalyangmingchiaotunguniversity;6;2023-08-01;;1380.5120768171987
beijing;na;china;renminuniversityofchina;7;2023-08-01;;16251.925428963288
beijing;na;china;tsinghuauniversity;4;2023-08-01;;16251.925428963288
beijing;na;china;beijinginstituteoftechnology;0;2023-07-27;;16251.925428963288
shanghai;na;china;keylaboratoryofgeographicinformationscience,ministryofeducation;8;2023-07-27;;6746.037435237712
nicosia;na;cyprus;openuniversityofcyprus;0;2023-07-21;;1967.9460500993875
shanghai;na;china;shanghaijiaotonguniversity;5;2023-07-15;;6746.037435237712
tianjin;na;china;tianjinuniversity;15;2023-07-15;;11475.448711234842
montevideo;na;uruguay;universidaddelarepublicafacultaddequimica;7;2023-07-14;;539.7666713247581
;na;na;na;0;2023-07-13;;
;na;portugal;cinav;1;2023-07-10;;22789.176045694046
;na;portugal;cinav;1;2023-07-10;;30.998015667873815
;na;portugal;cinav;1;2023-07-10;;7.659317640299705
;na;portugal;cinav;1;2023-07-10;;0.6005401661100286
;na;portugal;cinav;1;2023-07-10;;3.0224599549822613
;na;portugal;cinav;1;2023-07-10;;133.29701355842872
;na;portugal;cinav;1;2023-07-10;;37.868741813126185
;na;ethiopia;jimmainstituteoftechnology;3;2023-07-01;;
tokyo;na;japan;instituteofsciencetokyo;0;2023-07-01;;2183.257105688409
;na;botswana;botswanainternationaluniversityofscienceandtechnology;2;2023-07-01;;
;na;germany;teachingandresearchareamechatronicsinmobilepropulsion;1;2023-07-01;;
beijing;na;china;beijingluhehospital,capitalmedicaluniversity;0;2023-07-01;;16251.925428963288
tokyo;na;japan;wasedainstituteforadvancedstudy;2;2023-07-01;;2183.257105688409
shanghai;na;china;tongjiuniversity;2;2023-07-01;;6746.037435237712
;na;serbia;univerzitetunionnikolatesla;5;2023-07-01;;
;na;taiwan;nationalkaohsiunguniversityofscienceandtechnology;1;2023-07-01;;
;na;israel;shalvatamentalhealthcenter;9;2023-07-01;;
;na;croatia;sveucilisteuzagrebu,gradevinskifakultet;7;2023-07-01;;
adana;na;turkey;adanaalparslanturkesscienceandtechnologyuniversity;16;2023-07-01;;15351.343504762726
beijing;na;china;ministryofnaturalresourcesofthepeople'srepublicofchina;28;2023-07-01;;16251.925428963288
beijing;na;china;chinesecenterfordiseasecontrolandprevention;4;2023-07-01;;16251.925428963288
;na;china;chengduuniversityoftechnology;9;2023-07-01;;
;na;unitedkingdom;uclengineering;6;2023-07-01;;
